_id,sensor_id,date,calories
462,7,2016-03-13 14:07:49.880,35269
463,7,2016-03-13 14:07:50.903,35269
464,7,2016-03-13 14:07:51.930,35269
465,7,2016-03-13 14:07:52.953,35269
466,7,2016-03-13 14:07:53.982,35269
467,7,2016-03-13 14:07:54.979,35269
468,7,2016-03-13 14:07:56.004,35269
469,7,2016-03-13 14:07:57.053,35269
470,7,2016-03-13 14:07:58.079,35269
471,7,2016-03-13 14:07:59.086,35269
472,7,2016-03-13 14:08:00.131,35269
473,7,2016-03-13 14:08:01.157,35269
474,7,2016-03-13 14:08:02.178,35269
475,7,2016-03-13 14:08:03.204,35269
476,7,2016-03-13 14:08:04.217,35269
477,7,2016-03-13 14:08:05.256,35269
478,7,2016-03-13 14:08:06.282,35269
479,7,2016-03-13 14:08:07.278,35269
480,7,2016-03-13 14:08:08.304,35269
481,7,2016-03-13 14:08:09.331,35269
482,7,2016-03-13 14:08:10.356,35269
483,7,2016-03-13 14:08:11.380,35269
484,7,2016-03-13 14:08:12.415,35269
485,7,2016-03-13 14:08:13.431,35269
486,7,2016-03-13 14:08:14.453,35269
487,7,2016-03-13 14:08:15.484,35269
488,7,2016-03-13 14:08:16.504,35269
489,7,2016-03-13 14:08:17.527,35269
490,7,2016-03-13 14:08:18.558,35269
491,7,2016-03-13 14:08:19.578,35269
492,7,2016-03-13 14:08:20.605,35269
493,7,2016-03-13 14:08:21.631,35269
494,7,2016-03-13 14:08:22.654,35269
495,7,2016-03-13 14:08:23.678,35269
496,7,2016-03-13 14:08:24.703,35269
497,7,2016-03-13 14:08:25.705,35269
498,7,2016-03-13 14:08:26.755,35269
499,7,2016-03-13 14:08:27.789,35270
500,7,2016-03-13 14:08:28.786,35270
501,7,2016-03-13 14:08:29.845,35270
502,7,2016-03-13 14:08:30.853,35270
503,7,2016-03-13 14:08:31.855,35270
504,7,2016-03-13 14:08:32.880,35270
505,7,2016-03-13 14:08:33.928,35270
506,7,2016-03-13 14:08:34.953,35270
