StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:33:03.867,-0.36694336,0.018798828,0.9807129
will-left,0,0,0,2016-03-18 15:33:03.916,-0.35668945,0.1262207,0.94189453
will-left,0,0,0,2016-03-18 15:33:03.930,-0.33154297,-0.0107421875,0.9692383
will-left,0,0,0,2016-03-18 15:33:03.968,-0.27612305,0.027832031,0.9621582
will-left,0,0,0,2016-03-18 15:33:04.017,-0.35717773,0.16748047,0.89990234
will-left,0,0,0,2016-03-18 15:33:04.030,-0.3876953,0.15844727,0.8823242
will-left,0,0,0,2016-03-18 15:33:04.066,-0.39697266,0.09692383,0.86083984
will-left,0,0,0,2016-03-18 15:33:04.117,-0.36645508,0.12719727,0.8696289
will-left,0,0,0,2016-03-18 15:33:04.145,-0.41552734,0.1652832,0.91308594
will-left,0,0,0,2016-03-18 15:33:04.169,-0.40356445,0.31396484,0.85375977
will-left,0,0,0,2016-03-18 15:33:04.192,-0.43017578,0.2211914,0.8898926
will-left,0,0,0,2016-03-18 15:33:04.217,-0.38012695,0.08227539,0.96972656
will-left,0,0,0,2016-03-18 15:33:04.248,-0.3659668,0.15185547,0.9345703
will-left,0,0,0,2016-03-18 15:33:04.292,-0.37719727,0.16967773,0.93408203
will-left,0,0,0,2016-03-18 15:33:04.323,-0.36499023,0.18725586,0.92211914
will-left,0,0,0,2016-03-18 15:33:04.372,-0.37329102,0.24926758,0.8913574
will-left,0,0,0,2016-03-18 15:33:04.399,-0.3618164,0.13256836,0.9577637
will-left,0,0,0,2016-03-18 15:33:04.417,-0.36889648,0.15136719,0.92578125
will-left,0,0,0,2016-03-18 15:33:04.472,-0.38916016,0.15893555,0.9042969
will-left,0,0,0,2016-03-18 15:33:04.492,-0.3762207,0.14208984,0.9423828
will-left,0,0,0,2016-03-18 15:33:04.517,-0.43139648,0.22241211,0.93530273
will-left,0,0,0,2016-03-18 15:33:04.567,-0.4411621,0.15551758,0.9694824
will-left,0,0,0,2016-03-18 15:33:04.592,-0.3696289,0.051757813,0.9716797
will-left,0,0,0,2016-03-18 15:33:04.639,-0.36743164,0.114990234,0.9863281
