StudyName,StudyId,DeviceId,SensorId,Time,Resistance
eli-right,0,0,5,2016-03-18 16:18:49.914,6185.0
eli-right,0,0,5,2016-03-18 16:18:54.889,6211.0
eli-right,0,0,5,2016-03-18 16:18:59.880,6275.0
eli-right,0,0,5,2016-03-18 16:19:04.860,6288.0
eli-right,0,0,5,2016-03-18 16:19:09.830,6236.0
eli-right,0,0,5,2016-03-18 16:19:14.811,6236.0
eli-right,0,0,5,2016-03-18 16:19:19.785,6148.0
eli-right,0,0,5,2016-03-18 16:19:24.792,6098.0
eli-right,0,0,5,2016-03-18 16:19:29.762,6111.0
eli-right,0,0,5,2016-03-18 16:19:34.736,6049.0
eli-right,0,0,5,2016-03-18 16:19:39.717,6049.0
eli-right,0,0,5,2016-03-18 16:19:44.702,6013.0
eli-right,0,0,5,2016-03-18 16:19:49.687,6001.0
eli-right,0,0,5,2016-03-18 16:19:54.669,6086.0
eli-right,0,0,5,2016-03-18 16:19:59.639,6148.0
eli-right,0,0,5,2016-03-18 16:20:04.636,6148.0
eli-right,0,0,5,2016-03-18 16:20:09.611,6198.0
eli-right,0,0,5,2016-03-18 16:20:14.589,6025.0
eli-right,0,0,5,2016-03-18 16:20:19.562,6049.0
eli-right,0,0,5,2016-03-18 16:20:24.542,6049.0
eli-right,0,0,5,2016-03-18 16:20:29.535,6001.0
eli-right,0,0,5,2016-03-18 16:20:34.512,6025.0
eli-right,0,0,5,2016-03-18 16:20:39.477,6037.0
eli-right,0,0,5,2016-03-18 16:20:44.461,6049.0
eli-right,0,0,5,2016-03-18 16:20:49.435,5930.0
eli-right,0,0,5,2016-03-18 16:20:54.420,5815.0
eli-right,0,0,5,2016-03-18 16:20:59.402,5815.0
eli-right,0,0,5,2016-03-18 16:21:04.377,5954.0
eli-right,0,0,5,2016-03-18 16:21:09.363,5907.0
eli-right,0,0,5,2016-03-18 16:21:14.337,5884.0
eli-right,0,0,5,2016-03-18 16:21:19.335,5849.0
eli-right,0,0,5,2016-03-18 16:21:24.302,5872.0
eli-right,0,0,5,2016-03-18 16:21:29.297,5872.0
eli-right,0,0,5,2016-03-18 16:21:34.264,5907.0
eli-right,0,0,5,2016-03-18 16:21:39.265,5895.0
eli-right,0,0,5,2016-03-18 16:21:44.235,5849.0
eli-right,0,0,5,2016-03-18 16:21:49.210,5838.0
eli-right,0,0,5,2016-03-18 16:21:54.195,5770.0
eli-right,0,0,5,2016-03-18 16:21:59.196,5692.0
eli-right,0,0,5,2016-03-18 16:22:04.144,5803.0
eli-right,0,0,5,2016-03-18 16:22:09.147,5671.0
eli-right,0,0,5,2016-03-18 16:22:14.102,5681.0
eli-right,0,0,5,2016-03-18 16:22:19.087,5736.0
eli-right,0,0,5,2016-03-18 16:22:24.070,5574.0
eli-right,0,0,5,2016-03-18 16:22:29.051,5574.0
eli-right,0,0,5,2016-03-18 16:22:34.027,5522.0
eli-right,0,0,5,2016-03-18 16:22:39.015,5481.0
eli-right,0,0,5,2016-03-18 16:22:43.993,5481.0
eli-right,0,0,5,2016-03-18 16:22:48.978,5460.0
eli-right,0,0,5,2016-03-18 16:22:53.962,5470.0
eli-right,0,0,5,2016-03-18 16:22:58.936,5553.0
eli-right,0,0,5,2016-03-18 16:23:03.908,5553.0
eli-right,0,0,5,2016-03-18 16:23:08.911,5638.0
eli-right,0,0,5,2016-03-18 16:23:13.887,5703.0
eli-right,0,0,5,2016-03-18 16:23:18.852,5747.0
eli-right,0,0,5,2016-03-18 16:23:23.835,5747.0
eli-right,0,0,5,2016-03-18 16:23:28.810,5747.0
eli-right,0,0,5,2016-03-18 16:23:33.811,5770.0
eli-right,0,0,5,2016-03-18 16:23:38.777,5770.0
eli-right,0,0,5,2016-03-18 16:23:43.751,5714.0
eli-right,0,0,5,2016-03-18 16:23:48.727,5714.0
eli-right,0,0,5,2016-03-18 16:23:53.727,5649.0
eli-right,0,0,5,2016-03-18 16:23:58.702,5606.0
eli-right,0,0,5,2016-03-18 16:24:03.672,5522.0
eli-right,0,0,5,2016-03-18 16:24:08.651,5460.0
eli-right,0,0,5,2016-03-18 16:24:13.638,5430.0
eli-right,0,0,5,2016-03-18 16:24:18.633,5564.0
eli-right,0,0,5,2016-03-18 16:24:23.613,5501.0
eli-right,0,0,5,2016-03-18 16:24:28.579,5522.0
eli-right,0,0,5,2016-03-18 16:24:33.561,5470.0
eli-right,0,0,5,2016-03-18 16:24:38.537,5450.0
eli-right,0,0,5,2016-03-18 16:24:43.534,5370.0
eli-right,0,0,5,2016-03-18 16:24:48.502,5420.0
eli-right,0,0,5,2016-03-18 16:24:53.485,5350.0
eli-right,0,0,5,2016-03-18 16:24:58.459,5470.0
eli-right,0,0,5,2016-03-18 16:25:03.459,5511.0
eli-right,0,0,5,2016-03-18 16:25:08.426,5511.0
eli-right,0,0,5,2016-03-18 16:25:13.412,5491.0
eli-right,0,0,5,2016-03-18 16:25:18.376,5501.0
eli-right,0,0,5,2016-03-18 16:25:23.359,5460.0
eli-right,0,0,5,2016-03-18 16:25:28.352,5440.0
eli-right,0,0,5,2016-03-18 16:25:33.326,5470.0
eli-right,0,0,5,2016-03-18 16:25:38.301,5470.0
eli-right,0,0,5,2016-03-18 16:25:43.285,5440.0
eli-right,0,0,5,2016-03-18 16:25:48.267,5410.0
eli-right,0,0,5,2016-03-18 16:25:53.245,5410.0
eli-right,0,0,5,2016-03-18 16:25:58.231,5420.0
eli-right,0,0,5,2016-03-18 16:26:03.209,5420.0
eli-right,0,0,5,2016-03-18 16:26:08.185,5350.0
eli-right,0,0,5,2016-03-18 16:26:13.183,5291.0
eli-right,0,0,5,2016-03-18 16:26:18.160,5122.0
eli-right,0,0,5,2016-03-18 16:26:23.135,5262.0
eli-right,0,0,5,2016-03-18 16:26:28.109,5215.0
eli-right,0,0,5,2016-03-18 16:26:33.085,5215.0
eli-right,0,0,5,2016-03-18 16:26:38.084,5234.0
eli-right,0,0,5,2016-03-18 16:26:43.049,5234.0
eli-right,0,0,5,2016-03-18 16:26:48.026,5234.0
eli-right,0,0,5,2016-03-18 16:26:53.009,5234.0
eli-right,0,0,5,2016-03-18 16:26:57.986,5234.0
eli-right,0,0,5,2016-03-18 16:27:02.976,5196.0
eli-right,0,0,5,2016-03-18 16:27:07.955,5196.0
eli-right,0,0,5,2016-03-18 16:27:12.935,5187.0
eli-right,0,0,5,2016-03-18 16:27:17.912,5224.0
eli-right,0,0,5,2016-03-18 16:27:22.893,5206.0
eli-right,0,0,5,2016-03-18 16:27:27.890,5262.0
eli-right,0,0,5,2016-03-18 16:27:32.854,4673.0
eli-right,0,0,5,2016-03-18 16:27:37.837,5243.0
eli-right,0,0,5,2016-03-18 16:27:42.833,5005.0
eli-right,0,0,5,2016-03-18 16:27:47.801,5140.0
eli-right,0,0,5,2016-03-18 16:27:52.784,5140.0
eli-right,0,0,5,2016-03-18 16:27:57.759,5168.0
eli-right,0,0,5,2016-03-18 16:28:02.747,5122.0
eli-right,0,0,5,2016-03-18 16:28:07.746,5122.0
eli-right,0,0,5,2016-03-18 16:28:12.690,5150.0
eli-right,0,0,5,2016-03-18 16:28:17.683,5014.0
eli-right,0,0,5,2016-03-18 16:28:22.653,4936.0
eli-right,0,0,5,2016-03-18 16:28:27.633,5077.0
eli-right,0,0,5,2016-03-18 16:28:32.626,5272.0
